account_id,holder_category,mask,name,official_name,owners,subtype,type,item_id,institution_id,balances.available,balances.current,balances.iso_currency_code,balances.limit,balances.unofficial_currency_code
VJLqD7kaEGSZyDKAgJWdUaAJQLKEvktq6pRp1,personal,0000,Plaid Checking,Plaid Gold Standard 0% Interest Checking,"[{'addresses': [{'data': {'city': 'Malakoff', 'country': 'US', 'postal_code': '14236', 'region': 'NY', 'street': '2992 Cameron Road'}, 'primary': True}, {'data': {'city': 'San Matias', 'country': 'US', 'postal_code': '93405-2255', 'region': 'CA', 'street': '2493 Leisure Lane'}, 'primary': False}], 'emails': [{'data': 'accountholder0@example.com', 'primary': True, 'type': 'primary'}, {'data': 'accountholder1@example.com', 'primary': False, 'type': 'secondary'}, {'data': 'extraordinarily.long.email.username.123456@reallylonghostname.com', 'primary': False, 'type': 'other'}], 'names': ['Alberta Bobbeth Charleson'], 'phone_numbers': [{'data': '1112223333', 'primary': False, 'type': 'home'}, {'data': '1112224444', 'primary': False, 'type': 'work'}, {'data': '1112225555', 'primary': False, 'type': 'mobile'}]}]",checking,depository,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347,100.0,110.0,USD,,
wZlqmeQbk9h3G5WoZPaESNWP4Zp9AbFEgqLq8,personal,1111,Plaid Saving,Plaid Silver Standard 0.1% Interest Saving,"[{'addresses': [{'data': {'city': 'Malakoff', 'country': 'US', 'postal_code': '14236', 'region': 'NY', 'street': '2992 Cameron Road'}, 'primary': True}, {'data': {'city': 'San Matias', 'country': 'US', 'postal_code': '93405-2255', 'region': 'CA', 'street': '2493 Leisure Lane'}, 'primary': False}], 'emails': [{'data': 'accountholder0@example.com', 'primary': True, 'type': 'primary'}, {'data': 'accountholder1@example.com', 'primary': False, 'type': 'secondary'}, {'data': 'extraordinarily.long.email.username.123456@reallylonghostname.com', 'primary': False, 'type': 'other'}], 'names': ['Alberta Bobbeth Charleson'], 'phone_numbers': [{'data': '1112223333', 'primary': False, 'type': 'home'}, {'data': '1112224444', 'primary': False, 'type': 'work'}, {'data': '1112225555', 'primary': False, 'type': 'mobile'}]}]",savings,depository,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347,200.0,210.0,USD,,
58b5m1y4AGh9RPa7movbHwyZoVAM4diGx3g3E,,2222,Plaid CD,Plaid Bronze Standard 0.2% Interest CD,"[{'addresses': [{'data': {'city': 'Malakoff', 'country': 'US', 'postal_code': '14236', 'region': 'NY', 'street': '2992 Cameron Road'}, 'primary': True}, {'data': {'city': 'San Matias', 'country': 'US', 'postal_code': '93405-2255', 'region': 'CA', 'street': '2493 Leisure Lane'}, 'primary': False}], 'emails': [{'data': 'accountholder0@example.com', 'primary': True, 'type': 'primary'}, {'data': 'accountholder1@example.com', 'primary': False, 'type': 'secondary'}, {'data': 'extraordinarily.long.email.username.123456@reallylonghostname.com', 'primary': False, 'type': 'other'}], 'names': ['Alberta Bobbeth Charleson'], 'phone_numbers': [{'data': '1112223333', 'primary': False, 'type': 'home'}, {'data': '1112224444', 'primary': False, 'type': 'work'}, {'data': '1112225555', 'primary': False, 'type': 'mobile'}]}]",cd,depository,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347,,1000.0,USD,,
JXxVDKB4jRhbD9VPmvoetyNXD956EjcQboZoK,,3333,Plaid Credit Card,Plaid Diamond 12.5% APR Interest Credit Card,"[{'addresses': [{'data': {'city': 'Malakoff', 'country': 'US', 'postal_code': '14236', 'region': 'NY', 'street': '2992 Cameron Road'}, 'primary': True}, {'data': {'city': 'San Matias', 'country': 'US', 'postal_code': '93405-2255', 'region': 'CA', 'street': '2493 Leisure Lane'}, 'primary': False}], 'emails': [{'data': 'accountholder0@example.com', 'primary': True, 'type': 'primary'}, {'data': 'accountholder1@example.com', 'primary': False, 'type': 'secondary'}, {'data': 'extraordinarily.long.email.username.123456@reallylonghostname.com', 'primary': False, 'type': 'other'}], 'names': ['Alberta Bobbeth Charleson'], 'phone_numbers': [{'data': '1112223333', 'primary': False, 'type': 'home'}, {'data': '1112224444', 'primary': False, 'type': 'work'}, {'data': '1112225555', 'primary': False, 'type': 'mobile'}]}]",credit card,credit,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347,,410.0,USD,2000.0,
kBDAWrzxNjsn6qrEd5NQhZzmel91vGcJxzwzr,,4444,Plaid Money Market,Plaid Platinum Standard 1.85% Interest Money Market,"[{'addresses': [{'data': {'city': 'Malakoff', 'country': 'US', 'postal_code': '14236', 'region': 'NY', 'street': '2992 Cameron Road'}, 'primary': True}, {'data': {'city': 'San Matias', 'country': 'US', 'postal_code': '93405-2255', 'region': 'CA', 'street': '2493 Leisure Lane'}, 'primary': False}], 'emails': [{'data': 'accountholder0@example.com', 'primary': True, 'type': 'primary'}, {'data': 'accountholder1@example.com', 'primary': False, 'type': 'secondary'}, {'data': 'extraordinarily.long.email.username.123456@reallylonghostname.com', 'primary': False, 'type': 'other'}], 'names': ['Alberta Bobbeth Charleson'], 'phone_numbers': [{'data': '1112223333', 'primary': False, 'type': 'home'}, {'data': '1112224444', 'primary': False, 'type': 'work'}, {'data': '1112225555', 'primary': False, 'type': 'mobile'}]}]",money market,depository,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347,43200.0,43200.0,USD,,
l3DAnzB9P5SrGKzEgLPAHojqvV4Dy5IaLEJEL,,5555,Plaid IRA,,"[{'addresses': [{'data': {'city': 'Malakoff', 'country': 'US', 'postal_code': '14236', 'region': 'NY', 'street': '2992 Cameron Road'}, 'primary': True}, {'data': {'city': 'San Matias', 'country': 'US', 'postal_code': '93405-2255', 'region': 'CA', 'street': '2493 Leisure Lane'}, 'primary': False}], 'emails': [{'data': 'accountholder0@example.com', 'primary': True, 'type': 'primary'}, {'data': 'accountholder1@example.com', 'primary': False, 'type': 'secondary'}, {'data': 'extraordinarily.long.email.username.123456@reallylonghostname.com', 'primary': False, 'type': 'other'}], 'names': ['Alberta Bobbeth Charleson'], 'phone_numbers': [{'data': '1112223333', 'primary': False, 'type': 'home'}, {'data': '1112224444', 'primary': False, 'type': 'work'}, {'data': '1112225555', 'primary': False, 'type': 'mobile'}]}]",ira,investment,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347,,320.76,USD,,
qkDAya4bZpHpWxQwALraSkZbm1EGgzt6JNoNd,,6666,Plaid 401k,,"[{'addresses': [{'data': {'city': 'Malakoff', 'country': 'US', 'postal_code': '14236', 'region': 'NY', 'street': '2992 Cameron Road'}, 'primary': True}, {'data': {'city': 'San Matias', 'country': 'US', 'postal_code': '93405-2255', 'region': 'CA', 'street': '2493 Leisure Lane'}, 'primary': False}], 'emails': [{'data': 'accountholder0@example.com', 'primary': True, 'type': 'primary'}, {'data': 'accountholder1@example.com', 'primary': False, 'type': 'secondary'}, {'data': 'extraordinarily.long.email.username.123456@reallylonghostname.com', 'primary': False, 'type': 'other'}], 'names': ['Alberta Bobbeth Charleson'], 'phone_numbers': [{'data': '1112223333', 'primary': False, 'type': 'home'}, {'data': '1112224444', 'primary': False, 'type': 'work'}, {'data': '1112225555', 'primary': False, 'type': 'mobile'}]}]",401k,investment,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347,,23631.9805,USD,,
KXdPDr3479hwpyPj68DQH93o1D6eV8FE6GnGR,personal,7777,Plaid Student Loan,,"[{'addresses': [{'data': {'city': 'Malakoff', 'country': 'US', 'postal_code': '14236', 'region': 'NY', 'street': '2992 Cameron Road'}, 'primary': True}, {'data': {'city': 'San Matias', 'country': 'US', 'postal_code': '93405-2255', 'region': 'CA', 'street': '2493 Leisure Lane'}, 'primary': False}], 'emails': [{'data': 'accountholder0@example.com', 'primary': True, 'type': 'primary'}, {'data': 'accountholder1@example.com', 'primary': False, 'type': 'secondary'}, {'data': 'extraordinarily.long.email.username.123456@reallylonghostname.com', 'primary': False, 'type': 'other'}], 'names': ['Alberta Bobbeth Charleson'], 'phone_numbers': [{'data': '1112223333', 'primary': False, 'type': 'home'}, {'data': '1112224444', 'primary': False, 'type': 'work'}, {'data': '1112225555', 'primary': False, 'type': 'mobile'}]}]",student,loan,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347,,65262.0,USD,,
rPDwn4NgMysJGdlEDpzNTvnxjEQ93efdyaoad,,8888,Plaid Mortgage,,"[{'addresses': [{'data': {'city': 'Malakoff', 'country': 'US', 'postal_code': '14236', 'region': 'NY', 'street': '2992 Cameron Road'}, 'primary': True}, {'data': {'city': 'San Matias', 'country': 'US', 'postal_code': '93405-2255', 'region': 'CA', 'street': '2493 Leisure Lane'}, 'primary': False}], 'emails': [{'data': 'accountholder0@example.com', 'primary': True, 'type': 'primary'}, {'data': 'accountholder1@example.com', 'primary': False, 'type': 'secondary'}, {'data': 'extraordinarily.long.email.username.123456@reallylonghostname.com', 'primary': False, 'type': 'other'}], 'names': ['Alberta Bobbeth Charleson'], 'phone_numbers': [{'data': '1112223333', 'primary': False, 'type': 'home'}, {'data': '1112224444', 'primary': False, 'type': 'work'}, {'data': '1112225555', 'primary': False, 'type': 'mobile'}]}]",mortgage,loan,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347,,56302.06,USD,,
zLrzXEoaWxUlMxRb71PpU1xqJA9dR5U3Ewqww,,9001,Plaid HSA,Plaid Cares Health Savings Account,"[{'addresses': [{'data': {'city': 'Malakoff', 'country': 'US', 'postal_code': '14236', 'region': 'NY', 'street': '2992 Cameron Road'}, 'primary': True}, {'data': {'city': 'San Matias', 'country': 'US', 'postal_code': '93405-2255', 'region': 'CA', 'street': '2493 Leisure Lane'}, 'primary': False}], 'emails': [{'data': 'accountholder0@example.com', 'primary': True, 'type': 'primary'}, {'data': 'accountholder1@example.com', 'primary': False, 'type': 'secondary'}, {'data': 'extraordinarily.long.email.username.123456@reallylonghostname.com', 'primary': False, 'type': 'other'}], 'names': ['Alberta Bobbeth Charleson'], 'phone_numbers': [{'data': '1112223333', 'primary': False, 'type': 'home'}, {'data': '1112224444', 'primary': False, 'type': 'work'}, {'data': '1112225555', 'primary': False, 'type': 'mobile'}]}]",hsa,depository,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347,6009.0,6009.0,USD,,
