account_id,aprs,is_overdue,last_payment_amount,last_payment_date,last_statement_balance,last_statement_issue_date,minimum_payment_amount,next_payment_due_date,item_id,institution_id,account_number,current_late_fee,escrow_balance,has_pmi,has_prepayment_penalty,loan_term,loan_type_description,maturity_date,next_monthly_payment,origination_date,origination_principal_amount,past_due_amount,ytd_interest_paid,ytd_principal_paid,interest_rate.percentage,interest_rate.type,property_address.city,property_address.country,property_address.postal_code,property_address.region,property_address.street,disbursement_dates,expected_payoff_date,guarantor,interest_rate_percentage,loan_name,outstanding_interest_amount,payment_reference_number,sequence_number,loan_status.end_date,loan_status.type,pslf_status.estimated_eligibility_date,pslf_status.payments_made,pslf_status.payments_remaining,repayment_plan.description,repayment_plan.type,servicer_address.city,servicer_address.country,servicer_address.postal_code,servicer_address.region,servicer_address.street
JXxVDKB4jRhbD9VPmvoetyNXD956EjcQboZoK,"[{'apr_percentage': 15.24, 'apr_type': 'balance_transfer_apr', 'balance_subject_to_apr': 1562.32, 'interest_charge_amount': 130.22}, {'apr_percentage': 27.95, 'apr_type': 'cash_apr', 'balance_subject_to_apr': 56.22, 'interest_charge_amount': 14.81}, {'apr_percentage': 12.5, 'apr_type': 'purchase_apr', 'balance_subject_to_apr': 157.01, 'interest_charge_amount': 25.66}, {'apr_percentage': 0, 'apr_type': 'special', 'balance_subject_to_apr': 1000, 'interest_charge_amount': 0}]",False,168.25,2019-05-22,1708.77,2019-05-28,20.0,2020-05-28,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rPDwn4NgMysJGdlEDpzNTvnxjEQ93efdyaoad,,,3141.54,2019-08-01,,,,2019-11-15,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347,,25.0,1200.0,True,True,30 year,conventional,2045-07-31,3141.54,2015-08-01,425000.0,2304.0,12300.4,12340.5,3.99,fixed,Malakoff,US,14236,NY,2992 Cameron Road,,,,,,,,,,,,,,,,,,,,
KXdPDr3479hwpyPj68DQH93o1D6eV8FE6GnGR,,False,138.05,2019-04-22,138.05,2019-04-28,25.0,2019-05-28,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347,,,,,,,,,,2002-08-28,25000.0,,280.55,271.65,,,,,,,,['2002-08-28'],2032-07-28,DEPT OF ED,5.25,Consolidation,6227.36,,1,2032-07-28,repayment,2021-01-01,78.0,42.0,Standard Repayment,standard,San Matias,US,99415,CA,123 Relaxation Road
waA91N8QaKcGzkDR7KJRSNWpkKmjnvfqRzlvB,"[{'apr_percentage': 15.24, 'apr_type': 'balance_transfer_apr', 'balance_subject_to_apr': 1562.32, 'interest_charge_amount': 130.22}, {'apr_percentage': 27.95, 'apr_type': 'cash_apr', 'balance_subject_to_apr': 56.22, 'interest_charge_amount': 14.81}, {'apr_percentage': 12.5, 'apr_type': 'purchase_apr', 'balance_subject_to_apr': 157.01, 'interest_charge_amount': 25.66}, {'apr_percentage': 0, 'apr_type': 'special', 'balance_subject_to_apr': 1000, 'interest_charge_amount': 0}]",False,168.25,2019-05-22,1708.77,2019-05-28,20.0,2020-05-28,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qrXpoB84rRCWG73bdV5bTkZEPeX4BjCNPlVEn,,,3141.54,2019-08-01,,,,2019-11-15,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347,,25.0,1200.0,True,True,30 year,conventional,2045-07-31,3141.54,2015-08-01,425000.0,2304.0,12300.4,12340.5,3.99,fixed,Malakoff,US,14236,NY,2992 Cameron Road,,,,,,,,,,,,,,,,,,,,
lvW5olyBvZuGnVkqveaqSoj4glaX1BTEgBr4j,,False,138.05,2019-04-22,138.05,2019-04-28,25.0,2019-05-28,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347,,,,,,,,,,2002-08-28,25000.0,,280.55,271.65,,,,,,,,['2002-08-28'],2032-07-28,DEPT OF ED,5.25,Consolidation,6227.36,,1,2032-07-28,repayment,2021-01-01,78.0,42.0,Standard Repayment,standard,San Matias,US,99415,CA,123 Relaxation Road
dz9AwQQQ44HdyzGBjr3vf3AkZ4BKZaUJWAxnX,"[{'apr_percentage': 15.24, 'apr_type': 'balance_transfer_apr', 'balance_subject_to_apr': 1562.32, 'interest_charge_amount': 130.22}, {'apr_percentage': 27.95, 'apr_type': 'cash_apr', 'balance_subject_to_apr': 56.22, 'interest_charge_amount': 14.81}, {'apr_percentage': 12.5, 'apr_type': 'purchase_apr', 'balance_subject_to_apr': 157.01, 'interest_charge_amount': 25.66}, {'apr_percentage': 0, 'apr_type': 'special', 'balance_subject_to_apr': 1000, 'interest_charge_amount': 0}]",False,168.25,2019-05-22,1708.77,2019-05-28,20.0,2020-05-28,MQVB7kkkWWsoaA78nLepHWZzWj91ZAT9473ak,ins_130347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pQmd5GGGoos6PKG5rxwRcwNnKgB8EKfp1mNQ7,,,3141.54,2019-08-01,,,,2019-11-15,MQVB7kkkWWsoaA78nLepHWZzWj91ZAT9473ak,ins_130347,,25.0,1200.0,True,True,30 year,conventional,2045-07-31,3141.54,2015-08-01,425000.0,2304.0,12300.4,12340.5,3.99,fixed,Malakoff,US,14236,NY,2992 Cameron Road,,,,,,,,,,,,,,,,,,,,
LewzV888EEH4dky7E1rLtozxNlRZyNFkrzyWv,,False,138.05,2019-04-22,138.05,2019-04-28,25.0,2019-05-28,MQVB7kkkWWsoaA78nLepHWZzWj91ZAT9473ak,ins_130347,,,,,,,,,,2002-08-28,25000.0,,280.55,271.65,,,,,,,,['2002-08-28'],2032-07-28,DEPT OF ED,5.25,Consolidation,6227.36,,1,2032-07-28,repayment,2021-01-01,78.0,42.0,Standard Repayment,standard,San Matias,US,99415,CA,123 Relaxation Road
k7d3GkvkppTnXZz7nbx7IZPRn8wxXBtLoqam7,"[{'apr_percentage': 15.24, 'apr_type': 'balance_transfer_apr', 'balance_subject_to_apr': 1562.32, 'interest_charge_amount': 130.22}, {'apr_percentage': 27.95, 'apr_type': 'cash_apr', 'balance_subject_to_apr': 56.22, 'interest_charge_amount': 14.81}, {'apr_percentage': 12.5, 'apr_type': 'purchase_apr', 'balance_subject_to_apr': 157.01, 'interest_charge_amount': 25.66}, {'apr_percentage': 0, 'apr_type': 'special', 'balance_subject_to_apr': 1000, 'interest_charge_amount': 0}]",False,168.25,2019-05-22,1708.77,2019-05-28,20.0,2020-05-28,Wmbvdz3zppIM19j3MeQ3UqQd8Z7ekEFlxr1bo,ins_130347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zkgp79v9AATlEr34loV4C1XwvkPN4BHlQMjeG,,,3141.54,2019-08-01,,,,2019-11-15,Wmbvdz3zppIM19j3MeQ3UqQd8Z7ekEFlxr1bo,ins_130347,,25.0,1200.0,True,True,30 year,conventional,2045-07-31,3141.54,2015-08-01,425000.0,2304.0,12300.4,12340.5,3.99,fixed,Malakoff,US,14236,NY,2992 Cameron Road,,,,,,,,,,,,,,,,,,,,
rpek39v9KKFJKLvMJqjMUvVk46PLKmc71pmGe,,False,138.05,2019-04-22,138.05,2019-04-28,25.0,2019-05-28,Wmbvdz3zppIM19j3MeQ3UqQd8Z7ekEFlxr1bo,ins_130347,,,,,,,,,,2002-08-28,25000.0,,280.55,271.65,,,,,,,,['2002-08-28'],2032-07-28,DEPT OF ED,5.25,Consolidation,6227.36,,1,2032-07-28,repayment,2021-01-01,78.0,42.0,Standard Repayment,standard,San Matias,US,99415,CA,123 Relaxation Road
XMg1ZexMZWsjM6dDBrwqUoaZpAwLe8Fb8xmaA,"[{'apr_percentage': 15.24, 'apr_type': 'balance_transfer_apr', 'balance_subject_to_apr': 1562.32, 'interest_charge_amount': 130.22}, {'apr_percentage': 27.95, 'apr_type': 'cash_apr', 'balance_subject_to_apr': 56.22, 'interest_charge_amount': 14.81}, {'apr_percentage': 12.5, 'apr_type': 'purchase_apr', 'balance_subject_to_apr': 157.01, 'interest_charge_amount': 25.66}, {'apr_percentage': 0, 'apr_type': 'special', 'balance_subject_to_apr': 1000, 'interest_charge_amount': 0}]",False,168.25,2019-05-22,1708.77,2019-05-28,20.0,2020-05-28,qebXdGvedyuexD45dVGzUkraGvg86mtdxa7je,ins_130347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jz4arqJzrDfd9jxKZzwQiyGpxq3k6DhBw5DPA,,,3141.54,2019-08-01,,,,2019-11-15,qebXdGvedyuexD45dVGzUkraGvg86mtdxa7je,ins_130347,,25.0,1200.0,True,True,30 year,conventional,2045-07-31,3141.54,2015-08-01,425000.0,2304.0,12300.4,12340.5,3.99,fixed,Malakoff,US,14236,NY,2992 Cameron Road,,,,,,,,,,,,,,,,,,,,
